COUNTER,INTERPOLATED,Cz,Fz,Fp1,F7,F3,FC1,C3,FC5,FT9,T7,CP5,CP1,P3,P7,PO9,O1,Pz,Oz,O2,PO10,P8,P4,CP2,CP6,T8,FT10,FC6,C4,FC2,F4,F8,Fp2,HighBitFlex,SaturationFlag,RAW_CQ,MARKER_HARDWARE,MARKERS,Human Readable Time,New Label
93,0,-32.51,-28.268,-31.352,-25.673,-27.468,-25.254,-27.922,-29.724,-31.305,-31.305,-26.465,-30.731,-26.465,-30.731,-30.885,-20.992,-30.885,-29.049,-30.917,-27.739,-36.289,-29.049,-29.924,-32.183,-27.739,-22.834,-26.786,-29.924,-27.03,-20.172,-23.666,-35.201,0.0,0.0,0.0,0,1688127061.7191,2023-06-30 14:11:01,Rest
94,0,-11.473,-3.649,-10.828,-6.692,-8.998,-6.273,-6.378,-11.764,-16.417,-16.417,-6.971,-12.258,-6.971,-12.258,-10.874,-6.114,-10.874,-9.552,-8.857,-6.707,-14.223,-9.552,-8.378,-11.146,-6.707,-2.319,-1.657,-8.378,-5.999,0.341,-3.662,-14.161,0.0,0.0,0.0,0,1688127061.7269,2023-06-30 14:11:01,Rest
95,0,-1.728,5.576,0.966,-0.538,-0.792,0.393,-1.248,-0.993,-6.154,-6.154,1.745,-6.098,1.745,-6.098,0.92,2.089,0.92,-0.321,-1.164,2.009,-4.988,-0.321,-2.222,-2.938,2.009,4.856,2.444,-2.222,1.692,7.513,4.026,-4.925,0.0,0.0,0.0,0,1688127061.7347,2023-06-30 14:11:01,Rest
96,0,-0.189,7.107,2.502,2.024,-0.279,0.905,0.802,0.545,-4.611,-4.611,3.792,-4.555,3.792,-4.555,2.456,3.623,2.456,3.266,2.936,4.057,0.141,3.266,1.879,-0.886,4.057,9.974,0.904,1.879,5.789,14.677,5.559,-0.822,4096.0,0.0,0.0,0,1688127061.7425,2023-06-30 14:11:01,Rest
97,0,11.594,19.908,12.746,17.391,10.992,12.175,13.097,12.327,4.103,4.103,16.084,10.307,16.084,10.307,11.163,11.304,11.163,12.484,15.228,14.811,11.923,12.484,13.66,11.923,14.811,20.722,13.711,13.66,18.59,24.909,15.287,13.011,4096.0,0.0,0.0,0,1688127061.7504,2023-06-30 14:11:01,Rest
98,0,19.267,26.548,22.467,21.473,18.154,18.823,16.158,22.049,13.32,13.32,22.728,20.03,22.728,20.03,19.349,17.953,19.349,18.619,16.75,19.919,17.547,18.619,18.257,17.034,19.919,26.337,20.357,18.257,22.67,25.396,19.883,19.146,4096.0,0.0,0.0,0,1688127061.7582,2023-06-30 14:11:01,Rest
99,0,10.027,17.3,13.735,11.205,9.939,11.632,9.482,13.317,8.696,8.696,11.434,10.276,11.434,10.276,11.645,11.275,11.645,14.502,9.049,11.702,9.845,14.502,11.067,5.234,11.702,20.163,11.628,11.067,12.914,18.711,13.203,8.369,4096.0,0.0,0.0,0,1688127061.766,2023-06-30 14:11:01,Rest
100,0,-0.742,7.549,2.45,8.632,3.269,5.985,4.349,4.082,2.028,2.028,4.763,4.118,4.763,4.118,1.899,9.215,1.899,7.828,6.99,5.543,2.663,7.828,3.884,-0.407,5.543,10.921,5.981,3.884,4.704,11.52,6.53,-0.861,4096.0,0.0,0.0,0,1688127061.7738,2023-06-30 14:11:01,Rest
101,0,-5.352,-0.143,-3.7,4.525,0.704,0.343,-2.315,-1.045,-1.561,-1.561,2.197,3.602,2.197,3.602,-3.738,11.767,-3.738,-2.426,-1.214,-3.172,-7.074,-2.426,-6.367,-4.505,-3.172,1.176,-3.247,-6.367,-3.498,-0.787,-5.772,-5.471,4096.0,0.0,0.0,0,1688127061.7816,2023-06-30 14:11:01,Rest
102,0,-18.154,-15.0,-18.553,-12.898,-11.592,-15.539,-15.121,-14.364,-13.854,-13.854,-14.199,-11.771,-14.199,-11.771,-18.591,-1.565,-18.591,-19.842,-20.168,-26.222,-28.584,-19.842,-25.828,-24.48,-26.222,-13.682,-26.297,-25.828,-18.863,-19.742,-26.771,-20.835,4096.0,0.0,0.0,0,1688127061.7894,2023-06-30 14:11:01,Rest
