COUNTER,INTERPOLATED,Cz,Fz,Fp1,F7,F3,FC1,C3,FC5,FT9,T7,CP5,CP1,P3,P7,PO9,O1,Pz,Oz,O2,PO10,P8,P4,CP2,CP6,T8,FT10,FC6,C4,FC2,F4,F8,Fp2,HighBitFlex,SaturationFlag,RAW_CQ,MARKER_HARDWARE,MARKERS,Human Readable Time,New Label
9,0,-42.156,-33.111,-42.532,-39.082,-133.916,-60.254,-69.87,-307.284,-2.036,-167.99,-88.308,-17.53,-50.0,-123.924,-209.095,-138.665,-95.878,-103.517,-88.09,-89.995,-70.521,-1.56,-51.936,-45.407,-76.249,38.121,-97.814,-37.153,-53.955,-79.262,-344.454,-108.169,0.0,0.0,197.0,0,1688564518.2242,2023-07-05 15:41:58,Rest
10,0,-43.138,-45.373,-51.711,-49.289,-145.565,-66.342,-72.874,-310.563,-5.107,-173.97,-91.293,-19.05,-49.438,-125.85,-211.96,-151.334,-87.073,-103.413,-86.465,-91.442,-71.476,-6.169,-57.519,-48.948,-80.784,30.398,-102.327,-42.752,-61.586,-88.404,-356.917,-122.406,0.0,0.0,208.0,0,1688564518.2321,2023-07-05 15:41:58,Rest
11,0,-47.193,-51.475,-64.467,-54.363,-153.104,-71.911,-78.949,-318.962,-7.664,-173.283,-96.325,-20.055,-51.438,-129.31,-213.285,-149.134,-100.819,-99.211,-84.33,-87.252,-67.818,-6.675,-63.097,-55.046,-86.339,26.782,-110.421,-51.418,-70.234,-99.074,-365.269,-134.579,0.0,0.0,216.0,0,1688564518.2399,2023-07-05 15:41:58,Rest
12,0,-44.585,-45.788,-66.451,-52.259,-152.439,-70.302,-76.821,-322.229,-5.607,-174.135,-91.106,-13.375,-41.652,-123.033,-211.535,-135.152,-112.501,-89.378,-74.512,-78.968,-52.893,8.701,-60.472,-42.184,-78.055,33.927,-108.261,-43.682,-66.065,-97.438,-363.879,-135.981,0.0,0.0,217.0,0,1688564518.2478,2023-07-05 15:41:58,Rest
13,0,-32.757,-40.107,-55.626,-47.596,-148.188,-63.572,-67.01,-318.833,-5.089,-171.911,-83.842,-8.239,-32.389,-120.861,-213.885,-137.066,-106.753,-81.604,-67.777,-65.569,-35.934,19.451,-53.239,-23.698,-65.17,45.164,-94.833,-30.318,-56.777,-88.632,-356.343,-126.111,0.0,0.0,221.0,0,1688564518.2556,2023-07-05 15:41:58,Rest
14,0,-32.212,-36.993,-53.522,-49.086,-146.503,-64.02,-64.894,-317.489,-5.084,-170.715,-88.881,-9.768,-43.115,-133.547,-217.257,-147.175,-101.523,-88.182,-74.369,-66.015,-32.312,15.845,-52.674,-23.162,-64.08,53.316,-90.64,-30.288,-58.77,-85.981,-352.401,-120.862,0.0,0.0,210.0,0,1688564518.2635,2023-07-05 15:41:58,Rest
15,0,-36.79,-35.932,-59.103,-51.598,-148.918,-67.03,-70.977,-317.684,-1.493,-172.593,-90.842,-7.709,-48.195,-134.951,-219.089,-149.077,-106.545,-95.267,-76.344,-74.659,-32.28,14.805,-55.695,-22.627,-61.966,55.312,-94.648,-30.77,-61.272,-89.482,-356.659,-126.377,0.0,0.0,218.0,0,1688564518.2713,2023-07-05 15:41:58,Rest
16,0,-33.68,-38.97,-56.995,-49.497,-151.843,-63.889,-72.443,-319.416,-0.467,-168.835,-85.628,-7.189,-38.413,-124.57,-223.993,-151.49,-103.877,-93.634,-71.657,-67.412,-31.223,14.277,-55.639,-13.383,-58.831,53.72,-91.992,-28.178,-57.625,-92.466,-361.425,-128.299,0.0,0.0,211.0,0,1688564518.2792,2023-07-05 15:41:58,Rest
17,0,-35.695,-42.517,-58.475,-51.497,-153.228,-64.85,-70.833,-321.658,-4.565,-164.055,-89.641,-14.866,-41.961,-129.056,-227.868,-156.974,-94.551,-95.078,-75.172,-62.733,-33.241,7.603,-55.584,-14.906,-61.846,55.203,-93.436,-32.76,-62.69,-95.447,-364.65,-129.196,0.0,0.0,216.0,0,1688564518.287,2023-07-05 15:41:58,Rest
18,0,-41.295,-49.647,-66.101,-56.056,-157.685,-70.933,-73.836,-321.336,-4.56,-163.891,-96.211,-15.876,-48.579,-135.587,-223.541,-155.792,-96.506,-98.056,-77.146,-69.843,-32.183,6.059,-57.065,-22.064,-60.759,59.246,-103.589,-38.363,-68.775,-99.963,-369.921,-139.825,0.0,0.0,199.0,0,1688564518.295,2023-07-05 15:41:58,Rest
