COUNTER,INTERPOLATED,Cz,Fz,Fp1,F7,F3,FC1,C3,FC5,FT9,T7,CP5,CP1,P3,P7,PO9,O1,Pz,Oz,O2,PO10,P8,P4,CP2,CP6,T8,FT10,FC6,C4,FC2,F4,F8,Fp2,HighBitFlex,SaturationFlag,RAW_CQ,MARKER_HARDWARE,MARKERS,Human Readable Time,New Label
102,0,97.003,45.985,10.371,50.553,37.587,18.099,-736.824,-278.244,-17.511,-205.371,-62.342,54.605,-37.507,-196.073,-262.302,-133.891,950.6,-124.107,0.444,-244.86,-369.981,4.281,0.261,-255.327,-287.644,-2576.174,-300.568,13.754,-8.291,-52.649,-317.597,-127.495,4096.0,0.0,0.0,0,1688564272.9775,2023-07-05 15:37:52,Rest
103,0,104.078,55.673,31.878,66.896,55.992,29.864,-703.299,-270.794,-25.691,-195.431,-56.132,63.259,-34.908,-193.316,-266.65,-145.54,917.374,-119.373,5.055,-236.418,-357.316,15.547,13.069,-243.289,-279.672,-2570.011,-295.144,22.961,-1.622,-40.301,-307.033,-111.998,4096.0,65600.0,0.0,0,1688564272.9852,2023-07-05 15:37:52,Rest
104,0,109.609,62.79,40.043,62.219,59.01,33.421,-712.33,-271.548,-57.94,-210.605,-54.027,68.831,-36.41,-200.295,-275.093,-140.272,940.023,-121.815,1.463,-240.28,-351.323,19.63,15.617,-239.459,-278.88,-2573.077,-295.362,24.475,-2.133,-34.113,-304.677,-106.251,4608.0,256.0,0.0,0,1688564272.993,2023-07-05 15:37:52,Rest
105,0,106.426,62.215,46.15,55.497,51.779,32.363,-743.893,-269.227,-90.158,-217.055,-56.022,69.275,-36.886,-205.73,-270.719,-124.762,971.871,-127.841,-2.124,-250.286,-357.12,23.197,14.065,-249.466,-293.458,-2581.262,-308.386,19.84,-1.106,-32.542,-311.032,-102.559,4096.0,65856.0,0.0,0,1688564273.0007,2023-07-05 15:37:53,Rest
106,0,102.733,55.492,52.252,61.589,51.215,32.33,-731.366,-273.056,-103.388,-199.931,-56.478,68.181,-30.189,-194.766,-265.326,-127.711,938.623,-123.102,-1.097,-247.474,-358.299,20.1,19.174,-258.95,-306.485,-2595.075,-327.546,9.574,-0.593,-31.997,-316.869,-103.481,3456.0,65536.0,0.0,0,1688564273.0085,2023-07-05 15:37:53,Rest
107,0,105.192,55.949,61.421,68.187,58.848,36.909,-703.482,-274.32,-70.496,-194.096,-52.836,71.699,-19.401,-181.763,-261.474,-121.948,905.409,-112.22,0.441,-243.128,-361.527,21.616,23.253,-262.278,-310.789,-2606.824,-336.44,3.417,0.945,-27.867,-317.576,-99.279,3584.0,65792.0,0.0,0,1688564273.0163,2023-07-05 15:37:53,Rest
108,0,106.111,63.578,80.828,69.656,68.011,41.995,-735.054,-261.75,-37.638,-206.197,-42.024,74.189,-18.869,-181.581,-242.77,-89.039,937.292,-112.108,-1.097,-259.279,-377.047,27.23,24.767,-273.286,-318.163,-2611.39,-340.714,2.901,7.091,-19.642,-314.697,-79.199,4096.0,98624.0,0.0,0,1688564273.0241,2023-07-05 15:37:53,Rest
109,0,104.468,68.125,97.141,73.172,74.603,43.49,-760.447,-257.39,-4.813,-212.651,-32.761,70.016,-29.608,-188.572,-234.842,-74.093,948.137,-120.193,-7.243,-277.463,-400.236,16.445,27.304,-296.067,-335.263,-2622.611,-355.23,-7.86,9.133,-10.913,-309.26,-61.189,3968.0,256.0,0.0,0,1688564273.0318,2023-07-05 15:37:53,Rest
110,0,109.487,72.668,106.777,83.858,84.774,47.033,-726.898,-255.083,27.98,-209.877,-30.679,69.946,-33.677,-198.117,-249.464,-95.535,914.914,-123.147,-10.822,-279.235,-418.791,11.305,28.301,-308.066,-341.588,-2637.919,-365.633,-15.025,9.124,-0.656,-303.315,-53.444,4096.0,65856.0,0.0,0,1688564273.0396,2023-07-05 15:37:53,Rest
111,0,116.037,78.23,115.38,91.458,94.936,51.596,-724.122,-238.947,34.612,-209.155,-30.648,75.512,-33.644,-209.19,-253.826,-93.903,909.901,-128.147,-12.861,-281.005,-423.496,24.101,28.785,-302.122,-331.512,-2646.552,-360.657,-6.813,13.214,11.128,-299.425,-50.829,3968.0,0.0,0.0,0,1688564273.0473,2023-07-05 15:37:53,Rest
112,0,115.921,74.566,108.092,80.096,89.718,44.885,-754.137,-242.294,12.548,-219.704,-34.204,73.899,-42.319,-218.715,-253.572,-81.001,931.532,-139.802,-21.045,-290.97,-421.023,22.54,24.145,-301.308,-326.058,-2659.274,-360.809,-9.367,8.59,8.043,-297.589,-58.975,3968.0,0.0,0.0,0,1688564273.055,2023-07-05 15:37:53,Rest
113,0,111.707,63.733,92.102,64.647,74.259,36.643,-746.723,-263.056,32.003,-230.243,-40.317,75.362,-48.937,-220.033,-262.027,-91.167,898.325,-145.809,-29.221,-294.265,-420.09,12.784,15.924,-309.204,-334.441,-2674.033,-368.132,-22.166,-3.714,-3.236,-292.681,-70.699,3712.0,65536.0,0.0,0,1688564273.0628,2023-07-05 15:37:53,Rest
114,0,104.935,54.96,87.912,63.558,70.086,33.532,-743.927,-256.133,48.365,-220.791,-45.912,81.947,-51.962,-220.325,-262.278,-91.588,871.812,-148.225,-32.265,-288.335,-418.133,14.82,10.785,-314.53,-353.574,-2692.876,-373.912,-29.316,-9.346,-4.257,-287.265,-81.899,3968.0,0.0,0.0,0,1688564273.0705,2023-07-05 15:37:53,Rest
115,0,94.072,42.61,76.041,58.371,63.868,20.691,-772.896,-244.606,16.041,-212.373,-58.162,69.057,-68.816,-233.425,-263.04,-86.885,876.063,-158.323,-42.479,-290.096,-415.153,4.559,1.553,-324.974,-377.299,-2722.459,-385.321,-43.631,-17.021,-9.376,-288.002,-106.408,3712.0,33554688.0,0.0,0,1688564273.0784,2023-07-05 15:37:53,Rest
116,0,86.293,27.198,45.739,38.333,40.238,4.277,-781.857,-255.632,0.656,-224.969,-71.936,47.471,-83.604,-248.561,-275.072,-101.143,849.059,-167.386,-56.269,-304.151,-418.836,-12.351,-13.306,-338.993,-383.069,-2752.012,-396.207,-63.055,-32.373,-22.174,-283.104,-131.917,3840.0,33554432.0,0.0,0,1688564273.0861,2023-07-05 15:37:53,Rest
117,0,83.133,20.511,24.688,22.413,25.341,0.174,-780.563,-253.328,21.147,-236.014,-73.401,46.399,-76.348,-249.337,-276.847,-106.677,834.89,-168.244,-61.336,-317.679,-427.639,-10.29,-19.952,-339.679,-372.952,-2768.215,-394.273,-68.115,-42.075,-25.226,-271.55,-146.129,3968.0,0.0,0.0,0,1688564273.0939,2023-07-05 15:37:53,Rest
