COUNTER,INTERPOLATED,Cz,Fz,Fp1,F7,F3,FC1,C3,FC5,FT9,T7,CP5,CP1,P3,P7,PO9,O1,Pz,Oz,O2,PO10,P8,P4,CP2,CP6,T8,FT10,FC6,C4,FC2,F4,F8,Fp2,HighBitFlex,SaturationFlag,RAW_CQ,MARKER_HARDWARE,MARKERS,Human Readable Time,New Label
23,0,4.337,65.123,-6.366,79.978,74.922,57.784,34.596,36.157,10.497,16.073,5.01,9.34,59.192,35.192,1.064,44.004,54.456,43.806,35.409,32.919,37.489,38.011,56.417,48.254,9.714,0.436,38.546,55.551,77.336,63.252,60.162,88.255,0.0,0.0,222.0,0,1690553915.1293,2023-07-28 16:18:35,Rest
24,0,-1.303,65.057,2.35,76.824,72.798,53.628,28.414,33.559,5.363,13.496,-2.679,6.769,60.67,36.181,-1.498,41.399,52.864,40.688,32.3,27.251,33.866,37.461,59.946,45.644,-0.542,-8.274,29.286,56.008,79.308,62.165,56.003,97.901,0.0,0.0,203.0,0,1690553915.1371,2023-07-28 16:18:35,Rest
25,0,5.359,71.14,4.909,73.674,76.311,58.185,28.385,38.136,1.259,12.458,6.545,13.934,69.831,39.219,6.7,45.456,63.058,48.332,36.366,38.495,42.029,44.596,67.059,51.234,2.532,-2.118,41.04,55.952,82.815,68.25,56.972,96.778,0.0,0.0,193.0,0,1690553915.145,2023-07-28 16:18:35,Rest
26,0,14.062,70.557,-3.293,75.649,78.796,64.275,29.381,45.271,7.918,15.519,13.198,22.629,71.298,44.303,9.255,50.533,66.581,54.431,44.014,46.141,50.696,50.187,64.943,58.355,11.239,8.642,48.171,59.995,81.708,70.743,60.501,88.485,0.0,0.0,205.0,0,1690553915.1528,2023-07-28 16:18:35,Rest
27,0,13.536,65.875,-22.757,73.012,70.008,57.038,29.352,37.028,11.496,16.016,7.037,20.045,68.152,43.746,3.61,48.434,59.854,53.352,42.434,38.41,44.498,47.575,59.242,51.637,12.765,11.195,37.364,60.447,74.966,62.988,54.805,72.515,0.0,0.0,200.0,0,1690553915.1607,2023-07-28 16:18:35,Rest
28,0,6.863,59.149,-51.424,64.742,56.618,45.71,35.47,22.647,6.362,10.364,4.981,11.316,58.863,35.506,2.07,38.139,51.085,44.59,32.145,28.125,34.719,37.281,52.011,36.728,7.116,8.11,32.716,48.603,64.645,52.679,45.529,44.777,0.0,0.0,203.0,0,1690553915.1686,2023-07-28 16:18:35,Rest
29,0,1.733,42.696,-81.598,47.771,44.779,38.492,38.509,16.989,4.818,9.842,5.488,7.719,40.361,26.761,4.117,26.83,37.202,31.225,22.379,22.974,29.049,24.948,36.077,26.445,0.962,4.516,28.073,35.747,48.699,40.843,32.676,16.043,0.0,0.0,207.0,0,1690553915.1765,2023-07-28 16:18:35,Rest
30,0,-2.88,29.334,-108.157,27.743,35.0,29.744,30.786,14.922,8.912,14.955,1.897,6.686,29.05,22.636,2.064,19.119,25.894,22.997,15.184,18.34,19.799,19.8,25.283,21.296,-0.576,2.462,13.188,29.051,32.768,25.433,13.688,-4.977,0.0,0.0,202.0,0,1690553915.1843,2023-07-28 16:18:35,Rest
31,0,-6.463,27.255,-132.127,23.105,29.842,21.518,19.484,11.834,8.903,11.354,1.383,0.02,26.459,20.564,-2.549,12.952,23.306,16.314,9.021,12.174,11.582,16.194,22.696,15.639,3.011,2.46,8.052,20.313,24.539,17.211,8.038,-26.489,0.0,0.0,204.0,0,1690553915.1922,2023-07-28 16:18:35,Rest
32,0,-3.895,21.08,-154.536,23.594,25.201,16.373,10.755,5.674,7.87,4.682,1.894,-5.104,18.748,17.469,-5.621,5.254,18.672,7.588,3.377,4.99,5.423,8.494,14.988,6.402,3.008,5.019,9.068,14.145,17.342,14.632,13.666,-50.029,4096.0,0.0,0.0,0,1690553915.2,2023-07-28 16:18:35,Rest
